incident_id,date,system,incident_type,status,severity,description
INC1000,2024-11-03,s3_api,AuthError,Resolved,Low,Simulated log message
INC1001,2024-12-17,backup_agent,Network,Failure,Medium,Simulated log message
INC1002,2024-03-10,restore_service,Timeout,Resolved,Critical,Simulated log message
INC1003,2024-07-01,scheduler,AuthError,Resolved,Low,Simulated log message
INC1004,2024-09-06,scheduler,Timeout,Resolved,High,Simulated log message
INC1005,2024-08-15,scheduler,AuthError,Resolved,Low,Simulated log message
INC1006,2024-04-11,replication_service,AuthError,Resolved,Low,Simulated log message
INC1007,2024-03-15,backup_agent,ConfigError,Resolved,Low,Simulated log message
INC1008,2024-08-03,restore_service,Network,Failure,Medium,Simulated log message
INC1009,2024-07-21,replication_service,Network,Resolved,Medium,Simulated log message
INC1010,2024-07-10,s3_api,AuthError,Failure,Medium,Simulated log message
INC1011,2024-09-05,restore_service,DiskFull,Resolved,Low,Simulated log message
INC1012,2024-08-29,restore_service,DiskFull,Failure,Low,Simulated log message
INC1013,2024-06-27,restore_service,Timeout,Resolved,Low,Simulated log message
INC1014,2024-08-06,scheduler,Timeout,Resolved,Low,Simulated log message
INC1015,2024-03-22,restore_service,ConfigError,Resolved,High,Simulated log message
INC1016,2024-04-01,backup_agent,AuthError,Failure,Low,Simulated log message
INC1017,2024-06-23,restore_service,Timeout,Resolved,High,Simulated log message
INC1018,2024-08-26,scheduler,Timeout,Resolved,High,Simulated log message
INC1019,2024-09-16,restore_service,AuthError,Resolved,Low,Simulated log message
INC1020,2024-12-30,s3_api,ConfigError,Failure,Medium,Simulated log message
INC1021,2024-06-11,s3_api,Timeout,Resolved,Low,Simulated log message
INC1022,2024-02-17,scheduler,ConfigError,Resolved,Low,Simulated log message
INC1023,2024-11-24,backup_agent,Network,Resolved,Low,Simulated log message
INC1024,2024-11-23,backup_agent,ConfigError,Resolved,Medium,Simulated log message
INC1025,2024-04-25,replication_service,DiskFull,Resolved,Low,Simulated log message
INC1026,2024-12-02,scheduler,DiskFull,Failure,Medium,Simulated log message
INC1027,2024-12-02,restore_service,ConfigError,Failure,Medium,Simulated log message
INC1028,2024-08-12,scheduler,DiskFull,Failure,Low,Simulated log message
INC1029,2024-12-17,replication_service,Network,Failure,Medium,Simulated log message
INC1030,2024-11-23,scheduler,AuthError,Resolved,Medium,Simulated log message
INC1031,2024-05-26,scheduler,DiskFull,Resolved,Low,Simulated log message
INC1032,2024-03-03,replication_service,DiskFull,Failure,Low,Simulated log message
INC1033,2024-10-20,backup_agent,ConfigError,Resolved,Medium,Simulated log message
INC1034,2024-11-18,restore_service,Network,Failure,Low,Simulated log message
INC1035,2024-11-20,replication_service,AuthError,Resolved,Medium,Simulated log message
INC1036,2024-01-13,s3_api,ConfigError,Resolved,Low,Simulated log message
INC1037,2024-07-07,backup_agent,ConfigError,Failure,Low,Simulated log message
INC1038,2024-10-13,s3_api,Network,Failure,Low,Simulated log message
INC1039,2024-07-26,backup_agent,AuthError,Resolved,Low,Simulated log message
INC1040,2024-04-23,restore_service,Network,Failure,Medium,Simulated log message
INC1041,2024-01-22,restore_service,AuthError,Resolved,Low,Simulated log message
INC1042,2024-12-14,scheduler,Network,Resolved,Medium,Simulated log message
INC1043,2024-08-01,s3_api,ConfigError,Resolved,High,Simulated log message
INC1044,2024-06-19,backup_agent,ConfigError,Failure,Medium,Simulated log message
INC1045,2024-11-18,restore_service,Timeout,Resolved,Medium,Simulated log message
INC1046,2024-02-23,replication_service,DiskFull,Resolved,Low,Simulated log message
INC1047,2024-10-24,restore_service,Network,Resolved,Low,Simulated log message
INC1048,2024-11-15,replication_service,Timeout,Failure,Medium,Simulated log message
INC1049,2024-05-05,backup_agent,DiskFull,Resolved,Low,Simulated log message
INC1050,2024-10-03,restore_service,Network,Resolved,Medium,Simulated log message
INC1051,2024-07-22,restore_service,AuthError,Resolved,Low,Simulated log message
INC1052,2024-07-12,backup_agent,DiskFull,Failure,Medium,Simulated log message
INC1053,2024-06-17,restore_service,ConfigError,Resolved,High,Simulated log message
INC1054,2024-05-31,replication_service,Timeout,Failure,High,Simulated log message
INC1055,2024-02-04,restore_service,DiskFull,Resolved,Medium,Simulated log message
INC1056,2024-07-02,s3_api,DiskFull,Resolved,Medium,Simulated log message
INC1057,2024-10-12,scheduler,ConfigError,Resolved,Medium,Simulated log message
INC1058,2024-02-26,replication_service,Network,Resolved,Medium,Simulated log message
INC1059,2024-08-09,s3_api,AuthError,Resolved,Low,Simulated log message
INC1060,2024-10-29,backup_agent,ConfigError,InProgress,Low,Simulated log message
INC1061,2024-06-11,replication_service,AuthError,Failure,Low,Simulated log message
INC1062,2024-01-19,scheduler,Network,Resolved,Critical,Simulated log message
INC1063,2024-09-20,scheduler,DiskFull,Resolved,Low,Simulated log message
INC1064,2024-10-08,backup_agent,AuthError,Resolved,Medium,Simulated log message
INC1065,2024-04-22,backup_agent,Timeout,Failure,Medium,Simulated log message
INC1066,2024-11-22,replication_service,Timeout,Resolved,Medium,Simulated log message
INC1067,2024-01-30,restore_service,ConfigError,Resolved,Medium,Simulated log message
INC1068,2024-05-14,backup_agent,Network,Failure,Low,Simulated log message
INC1069,2024-03-07,restore_service,ConfigError,Resolved,Medium,Simulated log message
INC1070,2024-03-05,s3_api,ConfigError,Failure,High,Simulated log message
INC1071,2024-10-18,scheduler,ConfigError,Failure,Low,Simulated log message
INC1072,2024-01-25,restore_service,Timeout,Failure,Low,Simulated log message
INC1073,2024-02-06,scheduler,Timeout,Failure,Medium,Simulated log message
